Neighborhood,Total Count approved,Less than 1 year approved,1 year approved,2 years approved,3 years approved,4 years approved,5-10 years approved,10-15 years approved,15-20 years approved,20-25 years approved,25-30 years approved,30-35 years approved,35-40 years approved,40-45 years approved,45-50 years approved,50-55 years approved,55-60 years approved,60-65 years approved,65-70 years approved,70-75 years approved,75-80 years approved,80-85 years approved,85-90 years approved,95-100 years approved,Greater than 100 years approved,Total Count not approved,Less than 1 year not approved,1 year not approved,2 years not approved,3 years not approved,4 years not approved,5-10 years not approved,10-15 years not approved,15-20 years not approved,20-25 years not approved,25-30 years not approved,30-35 years not approved,35-40 years not approved,40-45 years not approved,45-50 years not approved,50-55 years not approved,55-60 years not approved,60-65 years not approved,65-70 years not approved,70-75 years not approved,75-80 years not approved,80-85 years not approved,85-90 years not approved,95-100 years not approved,Greater than 100 years not approved
Allerton,52,2,5,1,0,0,1,1,2,1,2,0,0,1,0,1,0,2,0,1,0,0,0,0,1,48,1,1,1,1,3,5,5,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,3
Annadale,29,0,0,1,0,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,0,1,2,1,6,7,5,7,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Arden Heights,37,0,1,0,1,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,38,1,0,2,1,2,7,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arrochar,18,0,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,3,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Arverne,22,0,1,3,1,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astoria,783,57,90,106,64,191,52,25,17,10,5,8,3,2,2,0,1,1,0,0,0,0,0,0,1,833,44,85,86,76,177,53,35,36,26,16,1,6,4,1,3,0,0,0,0,0,0,0,0,4
Auburndale,7,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,1,1,3,1,3,7,5,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Bath Beach,11,1,2,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,2,0,1,6,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery Park City,62,4,8,4,2,16,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,5,2,10,13,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bay Ridge,210,7,16,5,13,41,19,12,14,10,8,6,3,4,3,1,0,1,0,0,0,0,0,0,1,330,20,24,27,12,37,33,29,36,12,15,9,10,8,5,3,0,0,0,0,0,1,0,0,0
Bay Terrace,17,0,2,1,2,1,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,1,1,2,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Terrace (Staten Island),6,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,2,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
