RegionName,City,State,Metro,CountyName,SizeRank,Cost,Bedrooms
Upper West Side,New York,NY,New York,New York,1,2347.5,0
Upper East Side,New York,NY,New York,New York,2,1995,0
Washington Heights,New York,NY,New York,New York,3,1350,0
Astoria,New York,NY,New York,Queens,4,2000,0
Williamsburg,New York,NY,New York,Kings,5,2830,0
Bedford-Stuyvesant,New York,NY,New York,Kings,6,1600,0
Flatbush,New York,NY,New York,Kings,7,1450,0
Crown Heights,New York,NY,New York,Kings,8,1772.5,0
Jamaica,New York,NY,New York,Queens,9,1359,0
Harlem,New York,NY,New York,New York,10,1600,0
East Harlem,New York,NY,New York,New York,11,2650,0
Concourse,New York,NY,New York,Bronx,12,1150,0
Elmhurst,New York,NY,New York,Queens,13,1500,0
Lower East Side,New York,NY,New York,New York,16,2672.5,0
Flushing,New York,NY,New York,Queens,18,1350,0
Murray Hill (Queens),New York,NY,New York,Queens,19,1395,0
Forest Hills,New York,NY,New York,Queens,20,1537,0
East Village,New York,NY,New York,New York,21,2100,0
Jackson Heights,New York,NY,New York,Queens,22,1495,0
Midwood,New York,NY,New York,Kings,23,1385,0
Gramercy,New York,NY,New York,New York,24,2400,0
Bay Ridge,New York,NY,New York,Kings,25,1400,0
Kensington,New York,NY,New York,Kings,27,1500,0
University Heights,New York,NY,New York,Bronx,28,1150,0
Bedford Park,New York,NY,New York,Bronx,29,1200,0
Hamilton Heights,New York,NY,New York,New York,30,1550,0
Chelsea,New York,NY,New York,New York,31,2600,0
Sunnyside,New York,NY,New York,Queens,34,1550,0
Greenwich Village,New York,NY,New York,New York,35,2600,0
Rego Park,New York,NY,New York,Queens,36,1550,0
Fort Greene,New York,NY,New York,Kings,41,2495,0
Greenwood,New York,NY,New York,Kings,42,1797.5,0
Prospect-Lefferts Gardens,New York,NY,New York,Kings,43,1419,0
Fort Hamilton,New York,NY,New York,Kings,46,1299.5,0
Hell's Kitchen / Clinton,New York,NY,New York,New York,49,2600,0
Financial District,New York,NY,New York,New York,50,2850,0
Brighton Beach,New York,NY,New York,Kings,51,1400,0
Flatiron,New York,NY,New York,New York,52,2900,0
Clinton Hill,New York,NY,New York,Kings,55,2000,0
West Village,New York,NY,New York,New York,59,2925,0
Kew Gardens,New York,NY,New York,Queens,60,1500,0
Brooklyn Heights,New York,NY,New York,New York,62,2400,0
Columbus Circle,New York,NY,New York,New York,65,2660,0
Sutton Place,New York,NY,New York,New York,66,2325,0
Turtle Bay,New York,NY,New York,New York,69,2300,0
