Neighborhood,Total Count approved,Less than 1 year approved,1 year approved,2 years approved,3 years approved,4 years approved,5-10 years approved,10-15 years approved,15-20 years approved,20-25 years approved,25-30 years approved,30-35 years approved,35-40 years approved,40-45 years approved,45-50 years approved,50-55 years approved,55-60 years approved,60-65 years approved,65-70 years approved,70-75 years approved,75-80 years approved,80-85 years approved,85-90 years approved,90-95 years approved,95-100 years approved,Greater than 100 years approved,Total Count not approved,Less than 1 year not approved,1 year not approved,2 years not approved,3 years not approved,4 years not approved,5-10 years not approved,10-15 years not approved,15-20 years not approved,20-25 years not approved,25-30 years not approved,30-35 years not approved,35-40 years not approved,40-45 years not approved,45-50 years not approved,50-55 years not approved,55-60 years not approved,60-65 years not approved,65-70 years not approved,70-75 years not approved,75-80 years not approved,80-85 years not approved,85-90 years not approved,90-95 years not approved,95-100 years not approved,Greater than 100 years not approved
Allerton,39,23,1,3,1,0,0,1,1,2,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,63,30,2,2,2,1,3,5,5,1,0,1,0,1,0,0,0,0,0,3,1,0,0,1,0,5
Annadale,22,11,0,0,1,0,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,25,1,1,3,1,6,7,8,10,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Arden Heights,32,21,0,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,11,3,0,3,2,2,10,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arrochar,15,10,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,1,1,4,5,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Arverne,18,6,0,0,3,0,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,11,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astoria,768,138,57,90,106,62,191,52,25,16,10,5,8,2,2,2,0,0,1,0,0,0,0,0,0,1,1014,218,55,104,99,92,216,63,50,43,30,18,2,9,4,2,5,0,0,0,0,0,0,0,0,4
Auburndale,7,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,9,0,1,1,3,3,4,7,12,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Bath Beach,11,0,1,2,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,1,2,0,2,6,5,7,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Battery Park City,60,20,4,8,4,2,16,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,34,3,7,7,13,15,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bay Ridge,201,39,7,16,5,12,41,18,12,14,10,8,6,3,4,3,1,0,1,0,0,0,0,0,0,1,414,58,26,32,32,19,51,40,35,41,22,18,12,10,9,5,3,0,0,0,0,0,1,0,0,0
Bay Terrace,14,1,0,2,1,1,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,1,1,0,2,2,5,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Terrace (Staten Island),4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,1,1,0,2,2,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baychester,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,1,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Bayside,48,5,1,3,0,3,3,5,7,13,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,153,27,2,5,6,4,17,10,24,29,12,5,2,3,2,0,0,1,1,0,0,0,0,0,0,3
Bayswater,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,2,0,0,1,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford-Stuyvesant,354,108,25,58,52,26,57,7,5,3,2,1,4,1,0,1,1,1,2,0,0,0,0,0,0,0,521,152,48,85,62,38,81,26,7,7,3,4,5,1,0,0,0,0,0,1,0,0,0,0,0,1
Bedford Park ,11,0,1,1,1,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,3,0,1,6,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beechhurst,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,5,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belle Harbor,19,3,0,0,1,0,2,3,1,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,63,10,1,1,2,2,3,2,8,12,5,6,4,6,0,0,1,0,0,0,0,0,0,0,0,0
Bellerose,13,3,0,0,0,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,5,1,1,3,1,8,12,4,16,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Belmont,13,4,0,2,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30,8,2,4,5,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bensonhurst,71,6,2,3,3,6,11,4,16,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,18,0,13,6,6,24,21,30,33,11,9,4,2,0,0,0,0,0,0,1,0,0,0,0,1
Bergen Beach,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,1,0,0,3,4,5,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bloomfield,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boreum Hill,95,24,7,12,9,16,15,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,113,31,3,10,10,5,32,11,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Borough Park,22,8,1,0,1,0,1,2,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,10,1,1,2,0,7,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breezy Point,13,6,0,0,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,8,0,0,1,1,3,1,7,6,7,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Briarwood,26,2,3,3,2,3,3,5,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,7,1,7,2,1,8,3,2,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Brighton Beach,15,4,0,1,2,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,14,0,0,1,1,5,9,9,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Broad Channel,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,4,0,2,0,0,1,1,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Heights,134,30,4,16,18,11,22,13,4,2,3,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,181,48,11,21,15,12,24,16,12,5,7,3,0,1,0,0,1,0,0,1,1,0,0,0,0,3
Brookville,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brownsville,15,6,0,1,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,12,2,1,1,1,3,0,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bulls Heads,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,1,1,1,0,5,1,7,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushwick,255,61,33,50,36,15,42,4,2,4,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,523,160,54,78,59,33,92,13,11,8,7,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Cambria Heights,6,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Canarsie,9,1,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,4,0,2,3,3,9,9,6,11,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Carnegie Hill,31,8,2,3,3,4,4,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,75,20,7,3,7,2,17,6,4,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Carroll Gardens,115,25,3,17,10,9,21,13,8,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,156,31,12,30,10,11,30,9,11,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle Hill,7,2,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,1,1,2,5,4,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Castleton Corners,7,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,5,1,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Harlem,97,21,6,14,10,7,21,6,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,34,11,29,16,10,32,15,8,1,4,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0
Charleston,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,255,62,14,24,36,21,36,22,10,11,6,6,3,0,0,1,1,1,1,0,0,0,0,0,0,0,373,101,27,39,28,25,65,28,25,17,3,8,3,1,2,0,0,0,0,0,1,0,0,0,0,0
Chelsea (Staten Island),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown,45,14,5,1,3,5,1,4,1,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,100,47,6,4,6,3,14,2,5,3,2,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0
City Island,8,2,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,4,1,0,0,0,3,3,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Civic Center,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Claremont,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Claremont Village,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clason Point,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clifton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton Hill,220,45,13,33,26,34,33,19,7,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,274,66,26,34,29,28,63,16,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-Op City,7,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6,1,0,1,0,1,1,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Cobble Hill,94,10,1,17,9,12,17,6,12,3,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,133,31,12,15,12,8,22,10,8,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College Point,8,1,0,0,0,0,0,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,51,7,1,2,3,1,5,8,5,6,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
