Precinct,Address,DateTime,BlotterWeek,CrimeType,PoliceSaid,Arrest,Latitude,Longitude,JSDate
10,"355 West 16 Street, New York NY ",2/28/2015,3/13/2015,,"At the Dream Hotel, a woman stepped away from her purse and then found it was gone, NYPD said. The Henry Beglan purse contained $300 Fendi makeup and an Hermes wallet.",,40.742088,-74.003623,"2015,03,13"
10,"355 West 16 Street , New York, NY",2/28/2015,3/13/2015,,"At around 9:30 p.m. at the Dream Hotel, a security guard pushed a 27-year-old woman to the ground and grabbed her wrists, causing bruises to wrist and knee, according to NYPD.",,40.742088,-74.003623,"2015,03,13"
10,"454 West 35th street, New York, NY",2/28/2015,3/13/2015,,A 59 year-old woman was slugged while trying to break up a fight between her two roommates at around 8 p.m. She was punched in the neck and chest area and sustained bruising and swelling. ,,40.754864,-73.998176,"2015,03,13"
10,"512 west 42nd st, New York, NY",2/28/2015,3/13/2015,,"At approximately 11:00 p.m. at the XL nightclub, a 48-year-old man said nightclub staff gave someone else his $350 G-star Raw jacket, along with a $125 Oakley hoodie and black Ray-Bans, police said.",,40.759821,-73.996609,"2015,03,13"
10,"401 West 42nd Street, New York, NY",3/1/2015,3/13/2015,,"A 42-year-old woman was working her security job in the ATM area of Citbank when a man walked in and mumbled something to her. He then used the ATM, according to police, and then turned to her and called her “a n——-.” She told him not to say that and he repeated it several times as he approached her, police said. She put her hand up to stop him from getting too close, NYPD said. He then punched her in the face, causing injury. She moved away from him and he continued to follow her around the ATM, calling her “b-----” and “n----.” He then said, “I’ll sue you,” according to authorities. He then left the bank and walked southbound on ninth avenue. The victim had a swollen left cheek and in pain. 

Police are looking for the man, described as 40 years old, 6’0’’, and 180 lbs, with short, blonde close cut hair. He was wearing a tan top coat and brown shoes. ",,40.758817,-73.992645,"2015,03,13"
10,"419 West 26th Street, New York, NY",3/1/2015,3/13/2015,,"An intoxicated man walked into an NYPD precinct after being slashed with a box cutter while trying to buy marijuana. The 34-year-old man told police he went to purchase marijuana from a man nicknamed “Africa,” his usual dealer, at 3:15 Sunday afternoon in Chelsea. A dispute broke out during the transaction and the unknown perpetrator slashed the victim across the right cheek with a box cutter, authorities said. The victim was intoxicated and unsure of the exact address, police said. He was taken to Lenox Hill Healthplex. “Africa” is described as 5’9’’ and 35 years old, with close cut hair. ",,40.748642,-74.0005,"2015,03,13"
10,"272 West 29th Street, New York, NY",3/1/2015,3/13/2015,,"An 18-year-old male said he was checking bags into his room and forgot two outside the door. When he came back they were gone. The bags contained retro Air Jordans, black and red, worth $200, according to authorities. ",,40.748944,-73.995527,"2015,03,13"
10,"427 10th Ave. New York, NY",3/1/2015,3/13/2015,,"A ""devil's claw double ring,"" a $485 bone bracelet and more than $5000 worth of other jewelry were lifted off a man who nodded off at a West Side McDonald's. ",,40.75431,-73.999684,"2015,03,13"
10,428 West 26th Street,3/5/2015,3/13/2015,,"At 10:15 a.m, a man conducting building maintenance at the Chelsea-Elliot houses opened the door for the 22-year-old victim. When she did not say thank you, he got upset and began screaming and cursing at the victim, telling her, “Suck my dick."" When she argued back, the perpetrator, described as 5’6’’ and 190 pounds with a “Caesar” haircut, began beating her up, punching her multiple times in the face with a closed fist. 
When she tried to push him off her, the man dropped her to the ground, kicking her.",,40.748838,-74.00142,"2015,03,13"
10,"23rd Street and 7th Avenue, New York",3/5/2015,3/13/2015,,"A 52-year-old man at the 23rd Street and 7th Avenue subway station was assisting another passenger and left his red backpack behind on the northbound platform. When he returned to the station, his bag was missing, along with his $250 Playstation Portable and seven prescription medicines.",,40.744096,-73.995665,"2015,03,13"
10,527 West 29th Street,3/6/2015,3/13/2015,,"An art gallery reported graffiti on its front door, NYPD said. The owner of the David Nolan Gallery at called police when he got to work and saw it at 1:25 p.m.",,40.752277,-74.002686,"2015,03,13"
10,401 West 14th Street,3/7/2015,3/13/2015,,"A 25-year-old man was arrested for switching out a real iPhone for a fake at the Chelsea Apple Store at 7:30 p.m, according to police. ",,40.741223,-74.005504,"2015,03,13"
10,"169 8th Avenue, New York",3/10/2015,3/13/2015,,"A ""random individual walking"" past Cooper's Craft and Kitchen at kicked in the bar's window at around 3:40 p.m. The suspect, who has yet to be arrested, is described as 35 years of age, 5'10'' and 140 pounds, partially bald with black hair and light skin. The bar Pounds and Ounces had a similiar experience with the perpetrator.",,40.742705,-74.000776,"2015,03,13"
10,"114 10th Avenue, New York, NY",3/12/2015,3/13/2015,,"Two men in red jackets took a Pepsi fountain that had been place outside of Artichoke Pizza on the sidewalk, loaded it into a white van and drove away. An employee at the pizzeria said he thought they were Pepsi employees from their red jackets.",,40.744059,-74.006585,"2015,03,13"
10,"West 16th Street and Tenth Avenue, New York, NY",3/16/2015,3/27/2015,,A woman stole another woman’s taxi and pulled her hair when she protested at 7:45 on a Monday morning.,,40.743465,-74.007255,"2015,03,27"
