name,district,locationCode,primaryAddressLine,stateCode,zip,accessibilityCode,accessibilityDescription,profile,website,boroughNumber,boroughName,phoneNumber,size,grades,campus,distance,networkCode,networkLead,networkLeadPhone,networkLeadEmail,rank,displayName,point/objectId1,point/objectId,point/x,point/y,point/schoolName,point/boroughNumber,point/locationCode,point/district,point/zip,point/neighborhood,point/shape,dUSInformation/locationCode,dUSInformation/schoolName,dUSInformation/borough,dUSInformation/highSchool/schoolDirectoryYear,dUSInformation/highSchool/stage,dUSInformation/highSchool/email,dUSInformation/highSchool/indepedentWebsite,dUSInformation/highSchool/schoolType,dUSInformation/highSchool/accessibility,dUSInformation/highSchool/eLLProgramsESL,dUSInformation/highSchool/interestAreas,dUSInformation/highSchool/selectionMethods,dUSInformation/middleSchool/schoolDirectoryYear,childhoodCenter/objectId,childhoodCenter/locationCode,childhoodCenter/borough,childhoodCenter/district,childhoodCenter/name,childhoodCenter/phone,childhoodCenter/address,childhoodCenter/zip,childhoodCenter/dayLength,childhoodCenter/sPCoordX,childhoodCenter/sPCoordY,childhoodCenter/pjAreaName,childhoodCenter/boroCode,childhoodCenter/bin,childhoodCenter/bbl,childhoodCenter/seats,childhoodCenter/email,childhoodCenter/prekType,isChildhoodCenter,dayLength,managedBy,seats,prekType,childhoodCenter/dchDcId,childhoodCenter/contract,childhoodCenter/webSite,childhoodCenter/taxId,childhoodCenter/pepApproved,optCode
1199 Future of America Learning Center,10,XAPN,2500 Creston Avenue,NY,10468,,,,,2,Bronx,(718) 562-2915,0,PK,,0.624442624233462,,,,,100,1199 Future of America Learning Center (XAPN),1119,1119,-8226270.3641,4992120.9146,1199 Future of America Learning Center,2,XAPN,10,10468,Bedford Pk - Fordham North,1119,,,,,,,,,,,,,,1237,XAPN,X,10,1199 Future of America Learning Center,(718) 562-2915,2500 Creston Avenue,10468,1,1012506,253623,Bedford Pk - Fordham North,2,2013811,2031670001,60,erica.vincenty@1199ccc.org,NYCEEC,true,1,99,60,NYCEEC,,,,,,
1332 Fulton Ave DCC,9,XAHO,1332 Fulton Avenue,NY,10456,,,,,2,Bronx,(718) 378-1330,0,PK,,0.931294470411407,,,,,100,1332 Fulton Ave DCC (XAHO),1062,1062,-8226800.5856,4987744.1747,1332 Fulton Ave DCC,2,XAHO,9,10456,Morrisania - Melrose,1062,,,,,,,,,,,,,,1182,XAHO,X,9,1332 Fulton Ave DCC,(718) 378-1330,1332 Fulton Avenue,10456,1,1011201,242786,Morrisania - Melrose,2,2009685,2029310015,36,map1332fultondcc@outlook.com,NYCEEC,true,1,99,36,NYCEEC,,,,,,
"4 Angels Day Care, Inc.",31,RAEW,245 Simonson Avenue,NY,10303,,,,4angelsdaycareinc.com,5,Staten Island,(718) 876-6498,0,PK,,0,,,,,100,"4 Angels Day Care, Inc. (RAEW)",0,546,-8254579.3936,4957985.0259,"4 Angels Day Care, Inc.",5,RAEW,31,10303,MarinersHbr-Arlington-PtIvory-Granitvlle,546,,,,,,,,,,,,,,696,RAEW,R,31,"4 Angels Day Care, Inc.",(718) 876-6498,245 Simonson Avenue,10303,1,942018,169003,MarinersHbr-Arlington-PtIvory-Granitvlle,5,5026928,5011760042,13,my4angelsdaycareinc@msn.com,NYCEEC,true,1,99,13,NYCEEC,DC14175,R0736,4angelsdaycareinc.com,201598222,1,
47 The American Sign Language and English Secondary School,02,M047,223 EAST 23 STREET,NY,10010,,,http://schools.nyc.gov/SchoolPortals/02/M047/default.htm,,1,Manhattan,917-326-6668,184,"09,10,11,12,SE",,0,N103,"CHU, YUET",646-470-0721,YChu@schools.nyc.gov,100,47 The American Sign Language and English Secondary School (M047),0,1622,-8235596.016,4973836.7492,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,1,M047,2,10010,Gramercy,1622,M047,47 The American Sign Language and English Secondary School,Manhattan,7809,Published,wshama@schools.nyc.gov,www.47aslhs.org,,Functionally Accessible,,Humanities &amp; Interdisciplinary,Screened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,02047
82nd Street Academics,30,QAYL,8110 35th Avenue,NY,11372,,,,preknyc.com,4,Queens,(718) 457-0429,0,PK,,0,,,,,100,82nd Street Academics (QAYL),0,87,-8224874.0847,4975744.0974,82nd Street Academics,4,QAYL,30,11372,Jackson Heights,87,,,,,,,,,,,,,,96,QAYL,Q,30,82nd Street Academics,(718) 457-0429,8110 35th Avenue,11372,1,1016029,213057,Jackson Heights,4,4029684,4012810001,140,shona.gualtieri@82ndst.com,NYCEEC,true,1,99,140,NYCEEC,DC1187,R0819,preknyc.com,111761477,1,
992 Gates Avenue,17,KCKK,992 Gates Avenue,NY,11221,,,,,3,Brooklyn,(718) 483-9553,0,PK,,0,,,,,100,992 Gates Avenue (KCKK),0,1107,-8229150.1612,4966596.362,992 Gates Avenue,3,KCKK,17,11221,Stuyvesant Heights,1107,,,,,,,,,,,,,,1225,KCKK,K,17,992 Gates Avenue,(718) 483-9553,992 Gates Avenue,11221,3,1005406,190355,Stuyvesant Heights,3,3039623,3014800002,32,adaptivesolutions1@gmail.com,NYCEEC,true,3,99,32,NYCEEC,,,,,,
"A Castle for Classy Kids Learning Center, Inc.",19,KCJH,2570 Pitkin Avenue,NY,11208,,,,,3,Brooklyn,(347) 750-8154,0,PK,,0,,,,,100,"A Castle for Classy Kids Learning Center, Inc. (KCJH)",0,780,-8223988.9084,4964441.3096,"A Castle for Classy Kids Learning Center, Inc.",3,KCJH,19,11208,East New York,780,,,,,,,,,,,,,,975,KCJH,K,19,"A Castle for Classy Kids Learning Center, Inc.",(347) 750-8154,2570 Pitkin Avenue,11208,1,1018271,185021,East New York,3,3336165,3040240018,36,acastle4classykids@gmail.com,NYCEEC,true,1,99,36,NYCEEC,DC17130,,,264059858,1,
A Child's Place Too - 108th Street,24,QAAD,32-20 108th Street,NY,11369,,,,achildsplacetoo.com,4,Queens,(718) 565-2170,0,PK,,0,,,,,100,A Child's Place Too - 108th Street (QAAD),0,1025,-8222227.7204,4976906.6404,A Child's Place Too - 108th Street,4,QAAD,24,11369,East Elmhurst,1025,,,,,,,,,,,,,,1187,QAAD,Q,24,A Child's Place Too - 108th Street,(718) 565-2170,32-20 108th Street,11369,1,1022611,215949,East Elmhurst,4,4535511,4017020034,45,uprekacp@gmail.com,NYCEEC,true,1,99,45,NYCEEC,,,achildsplacetoo.com,,,
"A CHILD'S PLACE TOO, INC.",30,QASR,100-10 Astoria Boulevard,NY,11369,,,,,4,Queens,(718) 565-5466,0,PK,,0,,,,,100,"A CHILD'S PLACE TOO, INC. (QASR)",0,1035,-8223037.6185,4977238.9844,"A CHILD'S PLACE TOO, INC.",4,QASR,30,11369,East Elmhurst,1035,,,,,,,,,,,,,,912,QASR,Q,30,"A CHILD'S PLACE TOO, INC.",(718) 565-5466,100-10 Astoria Boulevard,11369,1,1020594,216770,East Elmhurst,4,4041756,4016880002,45,linda@achildsplacetoo.com,NYCEEC,true,1,99,45,NYCEEC,,,,,,
A House on Beekman Preschool,7,XAZD,390 Jackson Avenue,NY,10454,,,,,2,Bronx,(917) 801-3884,0,PK,,0,,,,,100,A House on Beekman Preschool (XAZD),0,3,-8227671.2282,4984191.399,A House on Beekman Preschool,2,XAZD,7,10454,Mott Haven - Port Morris,3,,,,,,,,,,,,,,3,XAZD,X,7,A House on Beekman Preschool,(917) 801-3884,390 Jackson Avenue,10454,1,1009045,233984,Mott Haven - Port Morris,2,2003865,2025730071,14,sloan@ahouseonbeekman.org,NYCEEC,true,1,99,14,NYCEEC,,,,,,
"A to Z Center Too, Inc.",29,QANS,220-24 Jamaica Avenue,NY,11428,,,,atozcentertoo.com,4,Queens,(718) 740-8400,0,PK,,0,,,,,100,"A to Z Center Too, Inc. (QANS)",0,547,-8207979.299,4971000.8841,"A to Z Center Too, Inc.",4,QANS,29,11428,Queens Village,547,,,,,,,,,,,,,,697,QANS,Q,29,"A to Z Center Too, Inc.",(718) 740-8400,220-24 Jamaica Avenue,11428,2,1058114,201386,Queens Village,4,4231222,4107890271,166,atoztoo@yahoo.com,NYCEEC,true,2,99,166,NYCEEC,DC15139,R0736,atozcentertoo.com,204485034,1,
